strain	state	county
13090-T10864	WA	King
13099-T10327	WA	King
13102-L20559	WA	King
13104-L20106	WA	King
1311-M65708	IL	Cook
13110-T12816	WA	King
13112-T12535	WA	King
1312-M65696	Unknown	Unknown
1314-W50837	WA	King
1315-M66089	WA	Pierce
1319-T68932	WA	King
13196-W71931	WA	Chelan
1320-T68824	WA	King
13201-W72018	WA	Chelan
13207-W77809	WA	Pierce
13219-W72102	WA	Chelan
13222-T15124	WA	King
13226-W72275	WA	Chelan
13227-T18040	WA	Pierce
13232-T93750	WA	Spokane
13233-M72824	WA	Spokane
13234-M76524	WA	Spokane
13242-W71831	WA	King
13249-T14833	WA	King
13258-T85288	WA	King
13262-T93174	WA	King
13263-T15047	WA	Kitsap
13264-T14980	WA	King
13268-M72783	WA	Spokane
1327-T69650	WA	King
13274-T93001	WA	Chelan
13275-L22268	WA	King
13277-H88247	WA	Okanogan
13288-H96818	WA	Spokane
1329-M66093	WA	Pierce
13290-L25390	WA	King
13291-L26112	WA	King
13293-L24740	WA	King
13299-L25484	WA	King
13300-F10462	WA	Spokane
13306-L24777	WA	King
13310-F10285	WA	Chelan
13311-F10286	WA	Chelan
13317-H96943	WA	Spokane
13319-T39294	WA	King
13321-H96915	WA	Spokane
13324-F12105	WA	Jefferson
13330-L25671	WA	King
13332-L25862	WA	King
1334-W52498	WA	Snohomish
13356-L21207	WA	King
13357-L21216	WA	King
13364-L21263	WA	King
13366-H89362	WA	King
13367-L20879	WA	King
13368-L21233	WA	King
13370-L21228	WA	King
13381-L20777	WA	King
13384-F94725	WA	King
13386-W77283	WA	Chelan
13394-F98810	OR	Deschutes
13395-H96394	WA	Pierce
13397-H92306	WA	King
13400-H96337	WA	Pierce
13401-H96385	WA	Pierce
13402-H94722	WA	King
1342-W50133	WA	Skagit
13432-T88913	Unknown	Unknown
13444-T88915	Unknown	Unknown
1346-W52580	WA	Snohomish
1351-W53670	WA	King
1353-W50024	WA	King
1362-T69954	WA	King
1365-M66399	CT	Fairfield
1402-W53912	Unknown	Unknown
1403-T72761	Unknown	Unknown
1407-T72766	Unknown	Unknown
1412-W52154	WA	King
1415-W55197	WA	Skagit
1417-T72481	WA	Pierce
1426-H64588	WA	Snohomish
1427-H64615	WA	Snohomish
1433-W55388	WA	King
1435-T72806	WA	Snohomish
1440-W52938	WA	King
1441-W52625	WA	King
1446-H64644	WA	Snohomish
1448-H64383	WA	King
1452-W55339	WA	King
1458-W53959	WA	King
1465-T72441	WA	Spokane
1470-W54946	WA	King
1471-W55071	WA	King
1473-W53170	WA	Chelan
1486-W56209	Unknown	Unknown
1501-H69790	WA	King
154-X61193	WA	King
1552-H71173	WA	King
1567-F81337	WA	Snohomish
1570-H71486	WA	King
1574-H71466	WA	King
1575-H72823	WA	King
1578-H71453	WA	King
1581-F81377	WA	Skagit
1583-F81375	WA	Yakima
1587-H71054	WA	King
1588-H70462	WA	King
1593-F81356	WA	Snohomish
1595-H71487	WA	King
1597-F81292	WA	Yakima
1617-F81701	WA	Whatcom
1620-F81438	WA	Skagit
1631-F86494	WA	King
1632-H72989	WA	Pierce
1646-F84824	WA	King
1651-F88424	WA	King
1666-F87194	WA	King
1670-S13630	WA	King
1672-F87780	WA	King
1675-F85970	WA	King
1677-S13790	WA	Snohomish
1680-S13848	WA	Skagit
1682-S14018	WA	Yakima
1683-F86487	WA	King
1684-S13991	WA	Whatcom
1688-F86732	WA	Snohomish
1689-H73207	WA	Snohomish
1690-S13977	WA	Whatcom
1697-F88748	WA	King
1698-F88552	WA	King
1700-S15596	WA	Snohomish
1705-S16707	WA	King
1706-S16827	WA	King
1708-S17775	WA	King
1715-H73261	WA	Pierce
1716-F88965	WA	King
1724-S17235	WA	King
1729-S14649	WA	King
1730-S18381	WA	King
1731-S17738	WA	King
1733-S18277	WA	King
1739-S18300	WA	King
1741-S18317	WA	Skagit
1744-S16182	WA	King
1745-S16183	WA	King
1748-S14734	WA	King
1750-S18363	WA	Yakima
1758-X72114	WA	Skagit
1766-W89128	WA	King
1768-W88977	WA	King
1770-X71878	WA	King
1772-S18174	WA	King
1773-X72962	no container ID	no container ID
1774-X72951	WA	King
1778-X73518	WA	Snohomish
1782-X74410	WA	King
1791-F89148	Unknown	Unknown
1792-S18500	WA	Chelan
1797-X73626	WA	King
1799-X74690	WA	Skagit
1801-M67814	WA	King
1805-X74967	WA	King
1806-X75162	WA	King
1812-X74892	WA	King
1816-X75894	Unknown	Unknown
1817-X75879	Unknown	Unknown
1818-X75848	Unknown	Unknown
1821-X76054	WA	Pierce
1822-X76068	WA	Pierce
1824-X76053	WA	Pierce
1825-X75995	WA	Pierce
1826-X76000	WA	Pierce
1827-X75979	WA	Pierce
1828-X75954	WA	Pierce
1831-X75967	WA	Pierce
1834-X75652	Unknown	Unknown
1835-M72647	WA	King
1839-M74195	WA	Snohomish
1840-M70163	WA	King
1843-M73894	WA	King
1846-M74187	WA	King
1849-M73250	OR	Multnomah
1851-M73208	OR	Multnomah
1853-M74691	WA	King
1854-M74717	WA	King
1855-M74854	WA	King
1858-F85643	WA	King
1859-M74897	WA	King
1860-M74528	WA	King
1863-M73204	WA	Chelan
1864-M72023	WA	Chelan
1865-X73961	WA	King
1866-M69292	WA	King
1868-M71534	WA	King
1870-M75996	WA	King
1872-M76053	WA	King
1874-T77349	WA	Snohomish
18754-L1020627	WA	King
18760-F1027643	WA	Pierce
1877-T77036	WA	King
18772-H1027615	WA	King
18776-F1027639	WA	Pierce
1878-T76629	WA	King
1879-T75593	WA	Whatcom
1885-T77818	OR	Deschutes
1887-T77952	OR	Deschutes
1888-T78101	WA	Kitsap
1890-T78714	WA	King
1896-T75276	WA	Pierce
1904-M76307	WA	King
1907-X76100	WA	Pierce
1917-X76109	WA	Pierce
19193-T1024062	WA	King
1920-M76260	WA	Pierce
19246-F1035460	WA	King
19249-S1024043	WA	King
1925-T79663	ID	Ada
19250-S1023606	WA	King
19255-S1022705	WA	King
19258-S1026661	WA	Thurston
19260-S1026638	WA	Thurston
19262-S1026352	WA	Thurston
1928-T78771	WA	King
19291-H1045952	WA	Yakima
1930-T76855	WA	King
19329-H1042154	WA	Pierce
1934-T79694	ID	Ada
1935-T79138	ID	Ada
19358-S1025740	WA	Spokane
1937-T76725	OR	Multnomah
19374-L1039358	WA	King
19376-S1023659	WA	Chelan
1938-T78936	ID	Ada
19382-S1026944	WA	Pierce
19384-S1027036	WA	Pierce
19388-S1027060	WA	Pierce
1939-T79431	ID	Ada
19391-S1026917	WA	Pierce
19395-S1025070	WA	King
19404-L1040943	WA	King
19418-S1026703	WA	Pierce
19426-H1043878	WA	Chelan
1944-T80041	WA	King
19444-H1041520	WA	Chelan
19451-H1037277	WA	Okanogan
1946-M72979	WA	King
19463-F1039202	WA	King
1947-T81569	WA	Kitsap
1948-T76622	WA	King
19488-F1042863	WA	Kitsap
19507-F1038333	WA	King
19534-S1026298	WA	Yakima
19536-S1022543	WA	King
19539-T1026234	WA	King
1954-T81479	WA	King
19547-S1024561	WA	Chelan
1955-T78491	WA	King
1956-T78497	WA	King
1957-T78695	ID	Ada
1963-T81972	WA	Skagit
1965-T80286	WA	King
19661-S1027351	WA	Spokane
19676-X1017483	WA	Pierce
1968-T81568	WA	Adams
19681-S1027364	WA	Spokane
19692-S1026954	WA	Pierce
19695-X1017034	WA	Pierce
19700-S1027234	WA	Pierce
19721-L1040844	WA	King
1976-T82665	no container ID	no container ID
1977-T82235	WA	Skagit
1984-T82333	WA	Island
1994-T81474	WA	King
1997-T80666	WA	King
2006-T80905	WA	Snohomish
2008-W58638	WA	King
2022-M76564	WA	Spokane
20236-S1015379	WA	Chelan
20238-F1029954	WA	Pierce
20242-S1015212	WA	King
20245-H1030879	WA	Pierce
20246-H1030742	WA	Pierce
2029-T78757	WA	King
2032-M76554	WA	Spokane
2034-T82508	WA	King
2036-M76553	WA	Spokane
20397-W1037747	WA	Adams
20400-H1033572	WA	King
2041-T82574	ID	Ada
2045-T81655	WA	Snohomish
2047-T82490	ID	Ada
2053-T79859	WA	King
2059-T82511	WA	King
2062-T82659	WA	Whatcom
2066-W60000	WA	King
2071-W59782	WA	Whatcom
2072-W59592	WA	Whatcom
2074-W60367	WA	King
2076-W60700	WA	King
2082-T80057	WA	King
2086-W61119	WA	King
2087-W60213	WA	King
2091-M73728	WA	King
2099-H23124	no container ID	no container ID
2104-W61715	WA	Kitsap
2108-W61142	WA	Pierce
2109-W62959	WA	King
2115-W61410	WA	King
2119-W60973	WA	King
2129-W63124	WA	King
2131-T80184	WA	King
21398-L1047125	WA	King
21404-L1047383	WA	King
21405-M1043547	WA	Spokane
21409-T1038509	WA	Chelan
2145-W65115	WA	Skagit
21457-L1047857	WA	King
2146-W65244	WA	Skagit
21461-W1051043	WA	Kitsap
21547-T1037793	WA	King
21551-T1037155	WA	King
21554-L1045169	WA	King
21562-L1046310	WA	King
21576-L1045826	WA	King
2159-W66081	ID	Ada
21591-T1041821	WA	Chelan
21596-T1039184	WA	Chelan
21599-T1043924	WA	Pierce
2160-W65325	ID	Ada
21600-T1043926	WA	Pierce
21608-T1038311	WA	Okanogan
21628-T1045197	WA	Pierce
21644-W1052650	WA	King
21654-L1045093	WA	King
21658-M1038093	WA	Chelan
21659-M1037957	WA	Chelan
21660-M1041092	WA	Chelan
21667-M1038014	WA	Spokane
21673-M1037607	WA	Chelan
2169-M76455	WA	Pierce
21695-M1037936	WA	Chelan
21707-M1037997	WA	Chelan
21710-W1046025	WA	King
21712-W1047502	WA	Chelan
21717-W1054081	WA	Pierce
21720-W1054485	WA	Pierce
21721-H1051197	WA	Pierce
21723-W1054200	WA	Pierce
21726-W1054092	WA	Pierce
21727-W1053939	WA	Pierce
21728-H1050469	WA	Pierce
21732-W1054236	WA	Pierce
21734-W1054016	WA	Pierce
21735-W1053984	WA	Pierce
21736-W1054009	WA	Pierce
2174-W65738	ID	Ada
21742-W1054239	WA	Pierce
21746-W1053526	WA	King
21747-T1045438	WA	Spokane
21752-W1050358	WA	Spokane
21753-W1050308	WA	Spokane
21754-W1054444	WA	King
21755-W1053779	ID	Bonneville
21756-T1045445	WA	Spokane
21757-W1053513	WA	King
21759-W1053537	WA	King
2176-T83261	WA	Pierce
21760-H1049829	OR	Deschutes
21764-W1052777	WA	King
21771-W1052583	WA	King
21784-W1048960	WA	Chelan
21785-W1043573	WA	Okanogan
21786-W1046118	WA	Okanogan
21789-F1053822	WA	King
2179-T83055	WA	Pierce
2191-H74854	WA	King
2192-W62923	WA	King
2193-T83283	WA	Pierce
21960-H1056901	WA	Spokane
21961-L1053464	WA	King
21969-F1056290	WA	King
21978-L1053015	WA	King
2198-W65614	ID	Ada
21981-L1051983	WA	King
21982-L1053404	WA	King
21985-H1056915	WA	Spokane
21986-H1057311	WA	Spokane
21987-L1053489	WA	King
21988-F1053912	WA	King
21990-H1054045	WA	Chelan
21992-H1053953	WA	Chelan
21995-H1056862	WA	Chelan
21998-F1056269	WA	King
22003-F1055556	WA	King
22009-L1053672	WA	King
22016-L1052311	WA	King
22017-L1054046	WA	King
22020-L1053804	WA	King
22027-L1054000	WA	King
22028-L1053423	WA	King
2203-H74688	WA	King
22038-M1040658	WA	Chelan
22039-M1042467	WA	Pierce
22048-M1043147	WA	Pierce
22051-M1043183	WA	Pierce
22056-M1040612	WA	Chelan
22057-M1041054	WA	Chelan
22060-M1041050	WA	Chelan
22061-T1033325	WA	King
22077-M1044752	WA	Pierce
2208-W65936	WA	King
22080-M1043935	WA	Pierce
22090-T1044384	WA	Pierce
22094-M1043819	WA	Spokane
22096-M1043828	WA	Spokane
22103-M1043901	WA	Pierce
22105-L1046657	WA	King
22112-L1048813	WA	King
22117-H1055096	WA	Okanogan
22122-L1053412	WA	King
22124-H1056839	WA	Chelan
2213-W65799	WA	Pierce
22132-L1050867	WA	King
22137-H1055092	WA	Okanogan
2214-W65779	WA	King
22144-L1052427	WA	King
22148-H1049218	WA	King
22149-H1055107	WA	Okanogan
2215-W65760	WA	King
22151-H1051805	WA	Chelan
22152-W1054076	WA	Pierce
22155-H1054046	WA	Chelan
22157-L1050922	WA	King
22162-L1050418	WA	King
22172-L1052151	WA	King
22173-H1053713	WA	Okanogan
22175-L1049146	WA	King
22177-H1053824	WA	Okanogan
2218-W64849	WA	Chelan
22180-T1045426	WA	Spokane
22181-L1052723	WA	King
22182-W1054065	WA	Yakima
22184-H1054692	WA	Chelan
22186-H1056840	WA	Chelan
2219-W63831	WA	King
22190-H1054755	WA	Okanogan
2220-M76549	WA	Pierce
22201-M1035557	WA	Chelan
22204-M1036820	WA	Chelan
22205-X1020373	WA	Spokane
22207-L1044703	WA	King
22212-L1044460	WA	King
22216-L1044600	WA	King
22217-L1039322	WA	King
22228-X1021045	WA	Pierce
22230-L1040865	WA	King
22233-M1036588	WA	Chelan
22236-M1040798	WA	Chelan
22238-M1036656	WA	Chelan
22240-M1036543	WA	Chelan
22244-M1035615	WA	King
22247-L1040651	WA	King
22248-X1021062	WA	Pierce
2225-M76534	WA	Pierce
22253-M1040198	WA	King
22254-L1039386	WA	King
22256-M1036693	WA	Chelan
22258-M1035558	WA	Chelan
22270-X1021251	WA	Pierce
22271-M1035150	WA	Pierce
22273-L1040515	WA	King
22275-L1039377	WA	King
22276-F1056981	OR	Deschutes
22281-L1052353	WA	King
22286-L1053469	WA	King
22287-L1053632	WA	King
22293-L1053089	WA	King
22294-H1061363	WA	Pierce
22302-L1053999	WA	King
22306-L1052016	WA	King
22312-F1049014	WA	Spokane
22313-L1054572	WA	King
22316-L1053953	WA	King
22318-L1053601	WA	King
2232-W60751	WA	Chelan
22327-L1054428	WA	King
22328-L1054671	WA	King
22330-L1054587	WA	King
22331-L1053461	WA	King
22339-W1053806	WA	Pierce
2234-T83114	WA	Pierce
22343-F1060394	WA	King
22346-F1060253	WA	King
22348-F1060015	WA	King
22349-H1060344	WA	King
2235-T83281	WA	Pierce
22353-F1060421	WA	King
22358-F1061314	WA	Pierce
22360-H1062071	WA	Pierce
22363-L1059603	WA	King
22365-L1059348	WA	King
22370-L1058034	WA	King
22375-L1055631	WA	King
22376-L1057214	WA	King
22382-L1059292	WA	King
22389-S1032796	WA	Chelan
22398-L1054944	WA	King
22399-L1054663	WA	King
22405-F1061872	WA	Grant
22407-L1057081	WA	King
22409-L1057229	WA	King
22412-S1032737	WA	Chelan
22415-L1054420	WA	King
22416-S1034680	OR	Deschutes
22418-F1061426	WA	Pierce
22419-F1061414	WA	Pierce
22422-L1054412	WA	King
22423-L1057931	WA	King
22426-F1061583	WA	King
22429-F1061049	WA	Pierce
22431-F1059346	WA	Pierce
22432-F1061413	WA	Pierce
22436-H1062013	WA	Pierce
22438-L1051143	WA	King
22440-W1050999	WA	King
22444-L1051112	WA	King
22445-L1049974	WA	King
22446-W1047914	OR	Deschutes
22447-H1054526	WA	Kitsap
22449-L1050283	WA	King
2245-W63932	WA	Thurston
22451-W1051472	WA	King
22452-W1049014	OR	Deschutes
22454-L1050111	WA	King
22458-W1051635	WA	King
22460-L1051347	WA	King
22468-L1049746	WA	King
22476-L1050070	WA	King
22482-W1047536	OR	Deschutes
22485-T1045050	WA	Pierce
2249-T82787	WA	Spokane
22491-W1047465	WA	Chelan
22493-T1045682	WA	Spokane
22495-W1045879	WA	Chelan
2250-T82842	WA	Spokane
22502-W1042708	WA	King
22505-W1047328	WA	Adams
22514-T1045203	WA	Pierce
22517-T1044954	WA	Pierce
22521-W1051053	WA	King
22535-W1047849	WA	King
22537-W1048365	WA	Adams
2255-W66517	ID	Kootenai
2268-M84478	WA	King
22720-F1059333	WA	Pierce
22723-F1061516	WA	King
22731-F1060592	WA	Pierce
22735-F1061676	WA	King
22746-F1052641	WA	Chelan
22747-L1056413	WA	King
22748-F1052227	WA	Chelan
22751-L1055331	WA	King
22752-F1052097	WA	Chelan
22753-F1052095	WA	Chelan
22755-F1052226	WA	Chelan
22756-H1061353	WA	Pierce
22757-F1061216	WA	King
22758-H1061824	WA	Spokane
22762-H1061904	WA	Spokane
22769-F1050260	WA	Okanogan
22774-H1061057	WA	Chelan
2278-H27426	WA	Pierce
22782-F1054625	WA	Chelan
22784-H1061776	WA	Spokane
22791-F1055361	WA	Spokane
2280-M81172	WA	Chelan
22804-T1042529	WA	King
22809-T1038750	WA	King
22817-W1044025	WA	King
22827-W1053092	WA	Pierce
22835-W1047900	WA	Chelan
22839-W1049408	WA	Chelan
22847-W1053235	WA	King
22848-W1053183	WA	King
22851-W1049115	WA	Chelan
22852-W1044471	WA	Okanogan
22854-W1053429	WA	Thurston
22855-W1048927	WA	Chelan
22859-W1049784	WA	Spokane
22864-W1050646	WA	Chelan
22867-W1052295	WA	Pierce
22871-H1054819	OR	Deschutes
22885-H1050577	WA	King
22892-H1059846	WA	King
22897-H1060621	WA	Pierce
22899-H1059544	WA	Pierce
22900-H1059541	WA	Pierce
22903-H1052453	WA	King
22918-T1055769	OR	Deschutes
22920-T1057436	WA	King
22922-T1058507	WA	Kitsap
22927-X1028793	WA	Pierce
22938-M1051760	WA	Chelan
22948-M1056794	WA	Chelan
22951-M1050974	WA	Chelan
22952-L1060273	WA	King
22963-L1060136	WA	King
22972-T1053057	WA	King
22978-M1058022	WA	King
22981-M1051678	WA	Okanogan
22990-M1055851	WA	Chelan
22993-X1028460	WA	Pierce
22994-X1028653	WA	Pierce
22996-X1028473	WA	Pierce
22998-S1036477	WA	Pierce
23004-M1056795	WA	Chelan
2304-M82870	WA	King
2305-M82892	WA	King
23124-S1032594	WA	King
23126-S1030081	WA	King
23130-S1029913	WA	Pierce
23152-M1034507	WA	Okanogan
23164-M1039447	WA	Chelan
23166-M1039479	WA	Chelan
2317-M84473	WA	King
23175-H1059672	WA	Pierce
23184-H1057501	WA	Chelan
23193-H1057112	WA	Spokane
23194-W1052972	WA	Spokane
23196-H1053768	WA	Chelan
2320-M84574	WA	King
23200-H1054663	WA	Chelan
23206-F1053006	WA	King
23210-H1061106	WA	Chelan
23213-F1055893	WA	King
23234-F1051415	WA	King
23235-F1051457	WA	King
23237-H1061729	WA	Pierce
23245-F1055410	WA	King
23252-F1057299	WA	Chelan
23257-F1054162	WA	Chelan
23266-F1055964	WA	Chelan
23276-F1056043	WA	Chelan
23277-L1056089	WA	King
23278-L1056630	WA	King
23283-F1060325	WA	King
23293-F1053238	WA	Okanogan
23297-F1060476	WA	King
23299-H1061377	WA	Pierce
23302-F1056007	WA	Chelan
23305-L1056614	WA	King
23308-H1061374	WA	Pierce
23312-F1056855	WA	Chelan
23313-F1056939	WA	Chelan
23330-X1025218	WA	Pierce
23335-S1034059	WA	King
23339-S1035430	OR	Deschutes
23340-F1061093	WA	Pierce
23342-F1059521	WA	King
23349-M1036065	WA	Okanogan
23355-S1032646	WA	Chelan
23360-M1039344	WA	Chelan
23365-X1021135	WA	Pierce
23371-M1059831	WA	Pierce
23376-X1028853	WA	Spokane
23378-X1028851	WA	Spokane
23379-M1052528	WA	Chelan
23380-M1052531	WA	Chelan
23384-L1062642	WA	King
23389-L1061731	WA	King
23390-T1052404	WA	King
23391-T1049790	WA	Pierce
23394-T1051454	WA	King
23397-M1055952	WA	Chelan
23400-M1059210	WA	Pierce
23406-M1055657	WA	Chelan
23410-L1062723	WA	King
23414-X1028852	WA	Spokane
23415-M1059178	WA	Pierce
23422-M1055991	WA	Chelan
23423-X1028891	WA	Spokane
23426-M1055988	WA	Chelan
23429-M1055186	WA	Chelan
23430-M1056202	WA	Spokane
23431-T1059598	WA	Thurston
2344-X13498	WA	Pierce
23445-M1059863	WA	Pierce
23461-M1060075	WA	Pierce
23464-M1059781	WA	Pierce
23467-L1063495	WA	King
23468-L1066396	WA	King
23476-L1066607	WA	King
23477-M1060367	WA	Pierce
23481-L1065345	WA	King
23483-M1060458	WA	Pierce
23487-L1066526	WA	King
23488-T1052895	WA	Chelan
23489-T1052900	WA	Chelan
23490-T1052861	WA	Chelan
23498-T1054281	WA	Chelan
23501-T1056521	WA	Chelan
23510-T1056564	WA	Chelan
23511-T1056606	WA	Chelan
23526-L1061816	WA	King
23530-M1060095	WA	Pierce
23531-W1065195	WA	Chelan
23533-W1065192	WA	Chelan
23538-W1065405	WA	Chelan
23549-W1064623	OR	Deschutes
23555-T1051618	WA	Okanogan
23556-T1052248	WA	Okanogan
23562-L1063423	WA	King
23564-L1066414	WA	King
23566-L1065869	WA	King
23571-L1062965	WA	King
23576-M1059751	WA	Pierce
23579-T1051693	WA	King
23582-M1059931	WA	Pierce
23594-T1059240	WA	Jefferson
23596-L1067608	WA	King
23597-M1059853	WA	Pierce
23600-T1051911	WA	King
23606-L1063494	WA	King
2369-T85064	WA	Pierce
23691-S1036034	WA	Pierce
2374-M85709	WA	Pierce
23752-M1054338	WA	King
23756-X1028771	WA	Pierce
23782-F1070238	WA	Chelan
23804-F1069068	WA	Okanogan
2386-M85770	WA	Pierce
24020-H1067156	WA	King
2414-S42511	WA	Chelan
24191-F1075871	WA	Thurston
2425-T86670	ID	Twin Falls
2428-X14755	WA	King
2430-X14713	WA	King
24322-F1072941	WA	King
2435-T86817	CT	Fairfield
24373-S1043197	WA	King
24378-S1042936	OR	Deschutes
2441-T86875	CT	Fairfield
24556-L1081639	WA	King
24557-L1081020	WA	King
2462-T87465	CT	Fairfield
2465-T87516	CT	Fairfield
2466-T87526	CT	Fairfield
2469-T87546	CT	Fairfield
2473-T87641	CT	Fairfield
24736-X1034409	WA	King
