strain	county	state
27035-X1058152	King	WA
27038-X1056870	King	WA
27042-F1119599	King	WA
27043-F1119598	King	WA
27044-F1119600	King	WA
27045-F1118227	King	WA
27046-F1118666	Grays Harbor	WA
2725-M84645	King	WA
2729-W14390	King	WA
2730-M84722	King	WA
2736-W19168	King	WA
2737-W18886	King	WA
2743-W91919	King	WA
2744-W90111	King	WA
27496-H1116168	King	WA
27497-H1114264	King	WA
27498-H1113205	King	WA
27499-W1107181	King	WA
27500-H1114771	King	WA
27501-H1122733	King	WA
27502-M1110296	King	WA
2767-F13106	Pierce	WA
2778-S23252	King	WA
2780-W93033	King	WA
2781-X79419	King	WA
2795-W90941	King	WA
2814-W91499	no container ID	no container ID
2816-F13114	Pierce	WA
2818-F13117	Pierce	WA
2820-W93927	no container ID	no container ID
2834-W91475	no container ID	no container ID
2837-W91300	no container ID	no container ID
2849-W91462	no container ID	no container ID
2862-X78957	King	WA
2868-W91437	no container ID	no container ID
2872-X79239	King	WA
2877-X79382	King	WA
2890-W94343	no container ID	no container ID
2910-X80136	Snohomish	WA
2916-X80356	King	WA
2929-X80903	Skagit	WA
2937-X78097	King	WA
2940-S22720	King	WA
2943-H83384	Pierce	WA
